grammar,type,meaning,lesson,link
"~아/어서 (because)","connective","'because / and so' (cause-result; reason clause precedes result)","37","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-37/"
"~(이)어서/여서","copula","'because (it) is' (이다 + 아/어서; 여서 after vowel-ending noun)","37","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-37/"
"~(이)라서","copula","'because (it) is' (spoken alternative to ~이어서/여서)","37","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-37/"
"아니어서 / 아니라서","copula","'because (it) is not' (아니다 causal forms)","37","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-37/"
"그래서","connective","'therefore / that's why' (standalone, from 그렇다 + 아/어서)","37","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-37/"
"때문(에) (noun)","expression","'because of (a noun)'","38","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-38/"
"~기 때문에","expression","'because' (verb/adjective + 기 때문에; allows past/future tense, unlike 아/어서)","38","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-38/"
"~았/었기 때문에","expression","'because (it) did' (past-tense before 때문에)","38","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-38/"
"~ㄹ 것이기 때문에","expression","'because (it) will...' (future-tense before 때문에)","38","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-38/"
"그렇기 때문에","connective","'therefore / because of that'","38","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-38/"
"~기 때문이다","expression","'the reason is because...' (때문 used as a noun with 이다)","38","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-38/"
"~(으)시","honorific","honorific marker added to a verb/adjective stem when the actor deserves respect","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"~께","honorific","honorific particle replacing ~에게/한테 ('to' a respected person)","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"드리다","honorific","humble/formal 'to give' (replaces 주다 for respected recipients)","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"말씀하다","honorific","honorific 'to speak' (replaces 말하다 for a respected speaker)","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"드시다","honorific","honorific 'to eat' (replaces 먹다 for a respected person)","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"잡수시다","honorific","very high honorific 'to eat'","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"계시다","honorific","honorific 'to be (at/in)' (replaces 있다 for a respected person)","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"주무시다","honorific","honorific 'to sleep' (replaces 자다 for a respected person)","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"있으시다","honorific","'(a respected person) has' (honorific possessive of 있다)","39","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-39/"
"~아/어 (imperative)","sentence ending","informal command ('do it')","40","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-40/"
"~(으)세요 / ~(으)셔요","sentence ending","polite-formal honorific command ('please do')","40","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-40/"
"~아/어라","sentence ending","plain/blunt imperative (used by elders to juniors)","40","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-40/"
"~(으)십시오","sentence ending","very formal command (high respect)","40","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-40/"
"~지 말다","verb","negative imperative base ('do not do')","40","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-40/"
"~지 마 / ~지 마세요 / ~지 마십시오","sentence ending","negative commands at increasing formality ('don't do')","40","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-40/"
"~지 말고","connective","'don't do X, and (instead)...' (connects negative command to a positive one)","40","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-40/"
"주다","verb","'to give' (an object or an action as a favor)","41","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-41/"
"~아/어 주다","expression","'to do (an action) for someone' (favor/service nuance)","41","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-41/"
"~아/어 주세요","expression","'please do (an action) for me' (polite request)","41","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-41/"
"주세요","expression","'please give (me)' (polite imperative of 주다)","41","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-41/"
"~지 말아 주세요","expression","'please don't (do)' (negative request with favor nuance)","41","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-41/"
"~아/어 주셔서","expression","'because you (kindly) did for me' (~아/어 주다 + 시 + 아/어서)","41","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-41/"
"드리다 (favor)","honorific","humble 'to do for / give to' a respected person (replaces 주다)","41","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-34-41/lesson-41/"
"때","noun","'time / when' (a moment or period)","42","https://www.howtostudykorean.com/lesson-42/"
"~ㄹ/을 때","expression","'when (an action happens)' (present/general timing)","42","https://www.howtostudykorean.com/lesson-42/"
"~았/었을 때","expression","'when (an action happened)' (past timing)","42","https://www.howtostudykorean.com/lesson-42/"
"때 + 까지/부터/마다/에/는/에만","expression","'when' + particles: until/since/every time/at/contrastive/only when","42","https://www.howtostudykorean.com/lesson-42/"
"~(으)면","connective","'if / when' conditional (future assumptions, general facts, repeated actions)","43","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-43/"
"~ㄴ/는다면","connective","'if' (emphasized supposition; plain-form verb/adjective + 면)","43","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-43/"
"~았/었으면","connective","'if (had) / wish' (past conditional, counterfactual)","43","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-43/"
"~았/었더라면","connective","'if (only) ... had' (counterfactual past conditional)","43","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-43/"
"그러면 / 그렇다면","connective","'if so / in that case' (from 그렇다 + 면 / 는다면)","43","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-43/"
"아니면","connective","'if not / or (else)' (아니다 + 면)","43","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-43/"
"만약/만일","adverb","'if / in case' (emphasizes uncertainty; pairs with ~(으)면)","43","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-43/"
"~자","sentence ending","informal suggestion ('let's')","44","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-44/"
"~지 말자","sentence ending","'let's not' (negative suggestion)","44","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-44/"
"~ㅂ/읍시다","sentence ending","formal suggestion ('let's', ~ㅂ시다 after vowel, ~읍시다 after consonant)","44","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-44/"
"~ㄹ/을래(요)","sentence ending","'shall we? / will you? / I want to' (suggestion, request, or intention)","44","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-44/"
"~ㄹ/을 수 있다","expression","'can / is able to'","45","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-45/"
"~ㄹ/을 수 없다","expression","'cannot / is unable to'","45","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-45/"
"~아/어 줄 수 있어요?","expression","'can you do (an action) for me?' (favor + ability)","45","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-45/"
"~지 못하다 (inability)","expression","'cannot / fail to do' (alternative inability form)","45","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-45/"
"~ㄹ/을 수가 없다","expression","'there's no way I can' (수 + 가 for emphasis)","45","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-45/"
"~아/어야 하다","expression","'must / have to do something'","46","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-46/"
"~아/어야 되다","expression","'must / have to do' (alternative to 하다)","46","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-46/"
"~아/어야지(요)","sentence ending","'should / ought to do' (conversational; ~아/어야죠 polite)","46","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-46/"
"~아/어야겠다","expression","'I'll have to / I should' (resolved necessity; from 아/어야 하겠다)","46","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-46/"
"필요하다","adjective","'to need (something)' (takes ~이/가)","46","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-46/"
"~ㄹ/을 필요가 있다","expression","'need to do (something)' (lit. 'have the necessity to')","46","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-46/"
"~ㄹ/을 필요가 없다","expression","'don't need to do (something)'","46","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-46/"
"~지만","connective","'but / even though' (connects contrasting clauses)","47","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-47/"
"~았/었지만","connective","'but / although (did)' (past tense before ~지만)","47","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-47/"
"~ㄹ/을 것이지만 / ~겠지만","connective","'but (it) will...' (future tense before ~지만)","47","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-47/"
"그렇지만","connective","'however / but' (from 그렇다 + 지만)","47","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-47/"
"하지만","connective","'but / however' (standalone sentence-initial conjunction)","47","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-47/"
"~아/어도","connective","'even if / even though / regardless of whether'","48","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-48/"
"~(이)어도 / ~(이)라도","copula","'even if (it) is' (이다 + 아/어도 forms)","48","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-48/"
"그래도","connective","'still / even so / regardless' (from 그렇다 + 아/어도)","48","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-48/"
"아무리","adverb","'no matter how much' (pairs with ~아/어도)","48","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-48/"
"~아/어도 되다","expression","'it's okay to / may / you're allowed to' (permission)","49","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-49/"
"안 ~아/어도 되다","expression","'don't have to / it's not necessary to'","49","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-49/"
"~지 않아도 되다","expression","'don't have to do' (alternative negative form)","49","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-49/"
"~아/어도 좋다","expression","'it's okay to / may' (substitute for 되다)","49","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-49/"
"~아/어도 괜찮다","expression","'it's okay to / fine to' (substitute for 되다)","49","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-49/"
"~ㄹ/을 예정(이다)","expression","'scheduled/planned to (do)'","50","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-50/"
"~ㄹ/을 계획(이다)","expression","'plan(s) to (do)'","50","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-50/"
"~ㄹ/을 준비가 되다","expression","'to be ready/prepared to (do)'","50","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-50/"
"~ㄹ/을 준비를 하다","expression","'to get ready / prepare to (do)'","50","https://www.howtostudykorean.com/unit-2-lower-intermediate-korean-grammar/unit-2-lessons-42-50/lesson-50/"
"~기도 하다 (to also do)","expression","to also do/be; an additional action or quality","51","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-51/"
"~기도 하고 ~기도 하다","expression","both X and Y; sometimes one, sometimes the other","51","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-51/"
"~ㄴ/는다고 (quote)","verb ending","quoting a verb in plain form (indirect speech)","52","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-52/"
"~다고 (quote)","verb ending","quoting an adjective in plain form (indirect speech)","52","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-52/"
"~(이)라고 (quote 이다)","verb ending","quoting 이다; identification/naming in indirect speech","52","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-52/"
"~라고 하다","expression","to say that / to call something","52","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-52/"
"뭐라고?","question word","'what did you say?'","52","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-52/"
"~자고 (quote)","verb ending","quoting a suggestion/proposal ('let's...')","53","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-53/"
"~(느)냐고 (quote)","verb ending","quoting a question with a verb","53","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-53/"
"~(으)냐고 (quote)","verb ending","quoting a question with an adjective","53","https://www.howtostudykorean.com/unit-3-lessons-51-58/lesson-53/"
"~(으)라고 (quote)","verb ending","quoting an imperative (command)","54","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-54/"
"~지 말라고 (quote)","verb ending","quoting a negative command (prohibition)","54","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-54/"
"~달라고","verb ending","quoted request that something be given/done for the speaker","55","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-55/"
"~아/어 달라고","expression","quoted request that an action be done for the speaker","55","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-55/"
"부탁하다","verb","to request a favor; to ask for help","55","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-55/"
"부탁(을) 드리다","honorific","honorific form of 부탁하다, to respectfully make a request","55","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-55/"
"~게 하다","expression","to make/let someone do something; to cause an action","56","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-56/"
"~게","connective","so that; in order to; (forms adverbs)","56","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-56/"
"~시키다","suffix","attached to a noun to mean 'to make someone do' that action","57","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-57/"
"시키다","verb","to order/make someone do something; to order food","57","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-57/"
"~(이)나 (or)","particle","'or' between nouns; undecided choice","58","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-58/"
"~거나 (or)","connective","'or' between verbs/actions; undecided choice","58","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-58/"
"~거나 말거나","expression","whether or not; the outcome is irrelevant","58","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-58/"
"어쩌면","adverb","maybe; perhaps","59","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-59/"
"아무래도","adverb","probably; no matter what","59","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-59/"
"연세","honorific","age (honorific form of 나이)","59","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-59/"
"뵈다 / 뵙다","honorific","to see/meet (humble-honorific)","59","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-59/"
"차림","noun","what one is wearing; attire/appearance","59","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-59/"
"즉","adverb","that is; in other words","59","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-59/"
"왠지","adverb","for some reason","60","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-60/"
"설마","adverb","surely not; expressing astonishment/disbelief","60","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-60/"
"다행이다","expression","it is fortunate/a relief","60","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-60/"
"~기(를) 바라다","expression","to hope that (a clause occurs)","61","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-61/"
"~았/었으면 좋겠다","expression","I hope/wish that (something were the case)","61","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-61/"
"~(으)면 좋겠다","expression","it would be good if; I hope","61","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-61/"
"~아/어 주시기 바랍니다","expression","formal/polite request: please do (something)","61","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-61/"
"~(으)면서","connective","while; as; doing two things simultaneously","62","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-62/"
"~(으)며","connective","formal/written form of ~(으)면서; and, while","62","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-62/"
"~ㄹ/을까(요) (shall/should)","sentence ending","shall we...? / should I...?; question to self or listener","63","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-63/"
"~ㄹ/을게(요)","sentence ending","stating intention to do something (softer than future)","63","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-63/"
"어떨까(요)","expression","how about...?; what do you think of...?","63","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-63/"
"~ㄹ/을까 하다","expression","I am thinking of / intend to do something","64","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-64/"
"~ㄹ/을까 봐(요)","expression","worried that; in case (something might happen)","65","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-65/"
"걱정되다","verb","to be worried","65","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-65/"
"거의","adverb","almost; nearly","66","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-66/"
"~ㄹ/을 뻔 했다","expression","almost did (but didn't); a near-miss","66","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-59-66/lesson-66/"
"~처럼","particle","like; in the manner of (attached to nouns)","67","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-67/"
"~듯이 / ~는 듯이","expression","as if; as though (based on appearance/behavior)","67","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-67/"
"마치","adverb","as if; just like (paired with ~처럼/~듯이)","67","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-67/"
"듯하다","expression","it seems like; it appears that","67","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-67/"
"유일하다","adjective","to be the only/sole/unique one","68","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-68/"
"유일하게","adverb","only; solely (adverbial form of 유일하다)","68","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-68/"
"~밖에","particle","nothing but; only (requires negative verb)","69","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-69/"
"~ㄹ/을 수밖에 없다","expression","to have no choice but to; can only","69","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-69/"
"~아/어(서) (means/sequence)","connective","sequential/intrinsically-linked actions; method or means","70","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-70/"
"통해(서)","expression","through; via; by means of","70","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-70/"
"포함하다 / 포함되다","verb","to include / to be included","71","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-71/"
"제외하다 (제외한/제외하고)","verb","to exclude; except for","71","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-71/"
"빼다","verb","to take out; to exclude (colloquial)","71","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-71/"
"외에","expression","other than; aside from; besides","71","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-71/"
"~만큼","particle","as much as; to the extent of","72","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-72/"
"정도","noun","degree; extent; about/approximately","72","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-72/"
"어느 정도 / 어느 만큼 / 얼마만큼","question word","how much; to what extent","72","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-72/"
"대신(에)","expression","instead of; in place of","73","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-73/"
"차라리","adverb","rather; preferably","73","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-73/"
"~지 말고 (instead)","connective","don't do (X) and instead...; negative command + suggestion","73","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-73/"
"~말고","particle","not (this noun) but (that one)","73","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-73/"
"상관없다","adjective","doesn't matter; is irrelevant","74","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-74/"
"상관없이","adverb","regardless of; in spite of","74","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-74/"
"~ㅁ/음에 불구하고","expression","despite; in spite of (formal)","74","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-74/"
"~에도 불구하고","expression","despite; even with (attached to nouns)","74","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-74/"
"신경을 쓰다 / 신경을 안 쓰다","expression","to care / to not care; to disregard","75","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-75/"
"~에 대해 (lesson 75)","expression","about; regarding; concerning","75","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-75/"
"~는지 (indirect question)","verb ending","indirect question marker (after question words)","75","https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-75/"
"~는데 (clause connector)","connective","Connects clauses to set up situation, background, or contrast; ""but/even though""","76","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-76/"
"~ㄴ/은데 (adjectives)","connective","~는데 applied to adjectives; sets up situation or contrast","76","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-76/"
"~는 데 (place)","noun","데 used as a noun meaning ""place/location"" described by a verb","76","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-76/"
"거인데/건데 (것인데)","connective","Shortened 것인데; future-tense/background contrast set-up on verbs","76","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-76/"
"때 (when)","noun","Noun meaning ""time/when""","76","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-76/"
"그런데","connective","""But/however""; acknowledges a situation then introduces contrast","77","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-77/"
"근데","connective","Contraction of 그런데; ""but/by the way"", common in speech","77","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-77/"
"~는데 (sentence ending)","sentence ending","Sentence-final ~는데 expressing disagreement or lingering feeling (""but..."")","77","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-77/"
"~는 데 (time/resources)","expression","""[verb]는 데 [time/resource]""; time or resources required to do an action","77","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-77/"
"~에 의하면","particle","""According to""; marks source of information","78","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-78/"
"~에 의해(서)","particle","""Due to/by""; marks cause in active and passive sentences","78","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-78/"
"~에 의한","particle","Descriptive form of ~에 의하다; modifies a following noun (""caused by"")","78","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-78/"
"~(으)로 인해(서)","particle","""Due to/as a result of""; expresses causation","78","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-78/"
"~(으)로 인한","particle","Descriptive form of ~(으)로 인하다; modifies a following noun (""caused by"")","78","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-78/"
